Year,MedianIncome
1984," 19,860 "
1985," 20,930 "
1986," 22,460 "
1987," 22,190 "
1988," 24,310 "
1989," 26,270 "
1990," 27,290 "
1991," 28,550 "
1992," 28,740 "
1993," 28,660 "
1994," 33,080 "
1995," 35,520 "
1996," 33,210 "
1997," 33,780 "
1998," 37,020 "
1999," 41,100 "
2000," 40,990 "
2001," 40,980 "
2002," 41,050 "
2003," 41,380 "
2004," 43,390 "
2005," 46,500 "
2006," 48,130 "
2007," 48,910 "
2008," 50,140 "
2009," 50,720 "
2010," 49,020 "
2011," 50,220 "
2012," 53,440 "
2013," 60,160 "
2014," 57,810 "
2015," 60,860 "
2016," 59,090 "
2017," 63,470 "
2018," 68,720 "
2019," 66,050 "
2020," 68,820 "
2021," 72,430 "
2022," 76,320 "
2023," 80,860 "
2024," 85,480 "
