Year,Population,Index,Violent,Property,Murder
1990,2776755,113871,8321,105550,54
1991,2795000,115546,8477,107069,57
1992,2812000,111275,7816,103459,44
1993,2814000,108239,9159,99080,66
1994,2829000,103389,8914,94475,47
1995,2842000,116575,10071,106504,51
1996,2852000,104067,7771,96296,53
1997,2852000,108827,8841,99986,52
1998,2862000,100188,8916,91272,54
1999,2869413,92497,8034,84463,43
2000,2926324,94630,7796,86834,46
2001,2931967,96499,7865,88634,50
2002,2935840,101265,8388,92877,44
2003,2941976,95729,8175,87554,50
2004,2952904,94274,8499,85775,44
2005,2965524,93067,8697,84370,40
2006,2982085,92024,8455,83579,55
2007,2988046,86959,8805,78154,37
2008,2993987,81927,8651,73276,77
2009,3007856,78565,8485,70080,38
2010,3050202,76931,8191,68740,38
2011,3064097,79926,7883,72043,44
2012,3075039,78524,8167,70357,49
2013,3092341,76419,8443,67976,41
2014,3109481,73584,8484,65100,60
2015,3121997,73307,8619,64688,73
2016,3134693,74501,9110,65391,71
2017,3143637,74690,9038,65652,98
2018,3148618,65327,8303,57024,70
2019,3155070,63109,8410,54699,60
