GrLivArea,BedroomAbvGr,Bathrooms,PropertyAge,GarageCars,TotalBsmtSF,OverallQual,LotArea,TotRmsAbvGrd,2ndFlrSF,GarageArea,BsmtFinSF1,BsmtUnfSF,1stFlrSF,GarageYrBlt,WoodDeckSF,OpenPorchSF,MasVnrArea,OverallCond,LotShape,ScreenPorch,MSSubClass,LotFrontage,CrimeRate,MedianIncome,InterestRate,UnemploymentRate,YrSold,MoSold,QrtSold,BldgType,RenovationFlag,SaleDate,SalePrice
800,1,1.0,73,0.0,264.0,2,6120,4,0,0.0,0.0,264.0,800,1979.0,0,0,0.0,3,Reg,0,30,51.0,26.11993393300743,50720.0,5.055,5.0,2009,1,Q1,1Fam,1,2009-01-01,60000.0
845,3,1.0,52,1.0,0.0,4,11500,5,0,290.0,0.0,0.0,845,1957.0,186,0,0.0,3,IR1,0,20,68.0,26.11993393300743,50720.0,5.055,5.0,2009,1,Q1,1Fam,0,2009-01-01,84000.0
1713,3,3.0,5,3.0,1713.0,8,9591,7,0,856.0,1088.0,625.0,1713,2004.0,0,26,262.0,5,Reg,170,20,76.0,26.11993393300743,50720.0,5.055,5.0,2009,1,Q1,1Fam,1,2009-01-01,274900.0
904,2,1.0,83,1.0,884.0,6,6000,4,0,180.0,0.0,884.0,904,1926.0,0,0,0.0,7,Reg,0,45,50.0,26.11993393300743,50720.0,5.055,5.0,2009,1,Q1,1Fam,1,2009-01-01,119000.0
1850,3,2.5,15,2.0,973.0,7,29959,7,871,467.0,595.0,378.0,979,1994.0,168,98,0.0,6,IR2,0,60,68.0,26.11993393300743,50720.0,5.055,5.0,2009,1,Q1,1Fam,0,2009-01-01,248000.0
1641,3,3.0,1,3.0,1641.0,9,14463,7,0,885.0,1115.0,526.0,1641,2008.0,0,95,406.0,5,IR1,0,20,79.0,26.11993393300743,50720.0,5.055,5.0,2009,1,Q1,1Fam,0,2009-01-01,183517.34369691
792,2,1.0,86,1.0,624.0,5,8520,5,0,287.0,0.0,624.0,792,1963.0,0,0,0.0,8,Reg,0,30,60.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,1,2009-02-01,159650.304285848
1382,3,2.5,11,2.0,384.0,7,8923,7,631,396.0,189.0,195.0,751,1998.0,256,0,0.0,5,IR1,0,80,57.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,0,2009-02-01,173719.30379824
2014,3,2.5,6,2.0,912.0,7,9157,9,942,486.0,0.0,912.0,1072,2003.0,124,114,0.0,5,IR1,0,60,75.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,0,2009-02-01,174179.824771856
1516,3,1.5,45,2.0,1516.0,6,10004,6,0,472.0,196.0,975.0,1516,1964.0,0,0,180.0,6,Reg,152,20,100.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,0,2009-02-01,167000.0
1476,3,3.5,4,2.0,738.0,6,8633,7,738,540.0,193.0,545.0,738,2005.0,100,35,0.0,5,Reg,0,60,64.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,0,2009-02-01,173500.0
1582,3,2.0,71,1.0,952.0,5,6120,6,588,250.0,273.0,679.0,994,1938.0,189,0,0.0,6,Reg,0,50,51.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,1,2009-02-01,168202.892306596
1698,3,3.0,2,3.0,1698.0,9,13286,8,0,768.0,1234.0,464.0,1698,2007.0,327,64,340.0,5,IR1,0,20,86.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,1,2009-02-01,320000.0
1427,3,1.0,94,1.0,483.0,6,5775,7,686,379.0,0.0,483.0,741,1915.0,0,24,0.0,7,IR2,0,70,68.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,1,2009-02-01,167523.919076265
1232,2,3.0,2,2.0,1232.0,7,7314,6,0,632.0,724.0,508.0,1232,2007.0,132,0,82.0,5,Reg,0,20,64.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,0,2009-02-01,194500.0
