SalePrice,GrLivArea,BedroomAbvGr,Bathrooms,PropertyAge,GarageCars,TotalBsmtSF,OverallQual,LotArea,TotRmsAbvGrd,2ndFlrSF,GarageArea,BsmtFinSF1,BsmtUnfSF,1stFlrSF,GarageYrBlt,WoodDeckSF,OpenPorchSF,MasVnrArea,OverallCond,LotShape,ScreenPorch,MSSubClass,LotFrontage,CrimeRate,MedianIncome,InterestRate,UnemploymentRate,YrSold,MoSold,QrtSold,BldgType,RenovationFlag
169805.382165577,1567,2,2.5,69,2.0,840.0,5,13680,6,727,440.0,728.0,112.0,840,1961.0,0,21,0.0,6,Reg,0,50,60.0,26.11993393300743,50720.0,5.115,5.1,2009,2,Q1,1Fam,1
106000.0,987,2,1.5,38,1.0,483.0,6,1869,5,504,280.0,321.0,162.0,483,1987.0,0,0,127.0,6,Reg,0,160,21.0,27.363846269205577,50140.0,6.01,3.0,2008,9,Q3,Twnhs,0
199641.657313834,2551,4,3.5,10,3.0,1779.0,8,12191,8,772,925.0,1181.0,598.0,1779,1998.0,76,61,515.0,5,IR1,0,60,100.0,29.102296283256685,48910.0,6.68,3.4,2007,6,Q2,1Fam,1
745000.0,4476,4,4.5,11,3.0,2396.0,10,15623,10,2065,813.0,2096.0,300.0,2411,1996.0,171,78,0.0,5,IR1,0,60,160.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0
192223.939790304,1632,4,1.5,40,2.0,784.0,5,10457,7,848,898.0,496.0,0.0,784,1969.0,0,173,178.0,7,IR1,0,60,70.0,26.11993393300743,50720.0,4.8,4.9,2009,4,Q2,1Fam,0
227680.0,1428,3,2.0,0,2.0,1417.0,7,12274,6,0,554.0,0.0,1417.0,1428,2008.0,0,60,256.0,5,IR1,0,20,91.0,27.363846269205577,50140.0,6.37,3.6,2008,7,Q3,1Fam,0
183035.606761141,1851,3,2.0,37,2.0,1851.0,7,11727,8,0,506.0,0.0,1851.0,1851,1969.0,0,146,434.0,6,Reg,0,20,90.0,30.85894600589856,48130.0,6.34,2.7,2006,3,Q1,1Fam,0
250580.0,1372,3,2.0,1,2.0,1372.0,7,8640,6,0,529.0,0.0,1372.0,1372,2008.0,0,140,0.0,5,Reg,0,20,72.0,27.363846269205577,50140.0,6.05,3.0,2008,5,Q2,1Fam,1
187388.833374873,1720,3,3.0,1,3.0,1720.0,9,10816,8,0,846.0,1104.0,616.0,1720,2008.0,208,104,364.0,5,IR1,0,20,65.0,26.11993393300743,50720.0,4.87,4.6,2009,11,Q4,1Fam,0
155862.510668829,836,2,1.5,33,1.0,836.0,7,2104,5,0,345.0,536.0,300.0,836,1976.0,150,20,0.0,6,Reg,0,120,24.0,26.11993393300743,50720.0,4.94,4.4,2009,10,Q4,TwnhsE,0
158000.0,2119,3,2.5,37,2.0,689.0,6,10448,7,741,583.0,0.0,689.0,1378,1972.0,0,104,333.0,6,IR1,0,80,68.0,26.11993393300743,50720.0,5.18,5.6,2009,8,Q3,1Fam,0
168173.94329857,1196,3,2.0,70,2.0,572.0,6,6000,6,348,576.0,264.0,308.0,848,1973.0,0,0,0.0,6,Reg,0,50,50.0,25.221608273812684,49020.0,4.965,5.2,2010,3,Q1,1Fam,1
214217.401131694,2228,6,2.0,30,2.0,0.0,5,7018,8,1114,720.0,0.0,0.0,1114,1979.0,73,0,0.0,5,Reg,0,90,64.0,26.11993393300743,50720.0,5.4,6.0,2009,6,Q2,Duplex,0
194201.0,1402,2,2.0,1,3.0,1258.0,7,3922,7,0,648.0,0.0,1258.0,1402,2006.0,120,16,72.0,5,Reg,0,120,53.0,29.102296283256685,48910.0,6.29,3.0,2007,2,Q1,TwnhsE,1
148500.0,1456,3,2.5,33,2.0,855.0,6,2280,7,601,440.0,566.0,289.0,855,1976.0,87,0,0.0,6,Reg,0,160,24.0,26.11993393300743,50720.0,5.2,5.6,2009,7,Q3,Twnhs,0
197900.0,1724,3,2.5,42,2.0,1680.0,6,17871,7,0,480.0,528.0,1152.0,1724,1967.0,0,0,359.0,5,IR1,0,80,68.0,26.11993393300743,50720.0,5.4,6.0,2009,6,Q2,1Fam,1
122000.0,900,3,1.0,43,1.0,882.0,5,9819,5,0,280.0,450.0,432.0,900,1970.0,0,0,31.0,5,IR1,0,20,68.0,25.221608273812684,49020.0,4.99,5.3,2010,2,Q1,1Fam,0
129000.0,864,3,2.0,57,2.0,864.0,5,7200,5,0,720.0,398.0,317.0,864,1980.0,194,0,0.0,8,Reg,0,20,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1
188813.302559147,1336,3,1.5,48,2.0,1121.0,6,9610,7,0,488.0,203.0,918.0,1336,1958.0,80,0,632.0,6,IR1,0,20,68.0,30.85894600589856,48130.0,6.125,2.5,2006,12,Q4,1Fam,0
189179.428177786,1299,3,1.0,53,2.0,967.0,6,11375,6,0,494.0,736.0,231.0,1299,1954.0,81,0,0.0,5,Reg,0,20,91.0,29.102296283256685,48910.0,6.385,2.6,2007,10,Q4,1Fam,1
162186.071220207,844,2,1.0,81,1.0,844.0,5,5633,5,0,216.0,0.0,844.0,844,1925.0,50,81,0.0,7,Reg,0,30,50.0,30.85894600589856,48130.0,6.765000000000001,2.8,2006,7,Q3,1Fam,1
118400.0,1012,2,1.0,87,1.0,1012.0,6,8263,6,0,308.0,0.0,1012.0,1012,1920.0,0,22,0.0,5,Reg,0,30,59.0,29.102296283256685,48910.0,6.21,2.8,2007,5,Q2,1Fam,1
162582.288981283,1740,2,1.0,88,1.0,936.0,5,7308,6,780,225.0,360.0,576.0,960,1920.0,0,0,0.0,5,Reg,0,50,81.0,27.363846269205577,50140.0,6.37,3.7,2008,6,Q2,1Fam,1
263000.0,2094,4,2.5,6,2.0,912.0,7,9375,8,1182,615.0,0.0,912.0,912,2003.0,182,182,0.0,5,Reg,0,60,75.0,26.11993393300743,50720.0,4.87,4.6,2009,11,Q4,1Fam,1
109500.0,1040,2,1.0,56,2.0,0.0,5,7200,5,0,625.0,0.0,0.0,1040,1950.0,0,0,0.0,7,Reg,0,20,60.0,30.85894600589856,48130.0,6.67,3.1,2006,6,Q2,1Fam,0
142000.0,1056,3,2.0,42,1.0,1056.0,5,8450,6,0,304.0,775.0,281.0,1056,1968.0,0,85,0.0,6,Reg,0,20,65.0,25.221608273812684,49020.0,4.57,4.7,2010,7,Q3,1Fam,0
169990.0,1316,3,2.0,1,2.0,1316.0,6,10237,6,0,397.0,28.0,1288.0,1316,2005.0,100,0,0.0,5,Reg,0,20,65.0,30.85894600589856,48130.0,6.365,2.4,2006,10,Q4,1Fam,1
196526.002998991,1652,4,2.0,36,3.0,1652.0,5,11836,8,0,928.0,149.0,1503.0,1652,1970.0,0,0,0.0,5,IR1,0,90,68.0,30.85894600589856,48130.0,6.34,2.7,2006,3,Q1,Duplex,0
380000.0,2643,3,2.5,1,3.0,2153.0,9,13693,9,574,694.0,0.0,2153.0,2069,2006.0,414,84,772.0,5,Reg,0,60,105.0,29.102296283256685,48910.0,6.16,2.9,2007,3,Q1,1Fam,0
172179.082325307,1497,3,2.0,71,1.0,825.0,6,6000,5,672,672.0,201.0,462.0,825,2004.0,272,0,0.0,7,Reg,0,50,50.0,27.363846269205577,50140.0,6.05,3.0,2008,5,Q2,1Fam,1
178630.060559899,1374,3,2.5,5,2.0,384.0,7,9734,7,630,400.0,241.0,30.0,744,2004.0,0,0,0.0,5,IR1,0,80,61.0,26.11993393300743,50720.0,4.85,5.0,2009,5,Q2,1Fam,0
181549.735943801,904,3,1.0,38,3.0,864.0,5,10200,5,0,912.0,704.0,160.0,904,1979.0,143,0,0.0,8,Reg,0,80,68.0,27.363846269205577,50140.0,6.37,3.7,2008,6,Q2,1Fam,0
152129.078861057,492,1,2.0,85,1.0,492.0,3,7830,3,0,200.0,416.0,76.0,492,1921.0,0,0,0.0,5,Reg,0,30,52.0,30.85894600589856,48130.0,6.67,3.1,2006,6,Q2,1Fam,1
166849.638174419,1064,2,1.5,58,1.0,864.0,5,10950,4,0,318.0,339.0,525.0,1064,1952.0,0,0,0.0,7,Reg,0,20,60.0,25.221608273812684,49020.0,4.885,4.3,2010,5,Q2,1Fam,0
145291.245020389,987,2,1.5,39,1.0,483.0,6,1680,5,504,264.0,156.0,327.0,483,1971.0,275,0,504.0,5,Reg,0,160,21.0,25.221608273812684,49020.0,4.99,5.3,2010,2,Q1,Twnhs,0
108000.0,1126,2,2.0,60,2.0,0.0,4,8777,5,0,520.0,0.0,0.0,1126,2002.0,0,96,0.0,5,Reg,0,20,67.0,26.11993393300743,50720.0,4.85,5.0,2009,5,Q2,1Fam,1
117000.0,1348,3,2.0,84,1.0,884.0,5,6000,5,464,216.0,0.0,884.0,884,1960.0,0,0,0.0,8,Reg,0,50,50.0,26.11993393300743,50720.0,4.85,5.0,2009,5,Q2,1Fam,1
119000.0,1367,4,2.0,108,1.0,861.0,5,8405,7,406,384.0,241.0,229.0,961,1978.0,0,130,0.0,8,Reg,0,50,50.0,27.363846269205577,50140.0,5.88,2.7,2008,4,Q2,1Fam,1
146000.0,1392,2,2.0,1,2.0,689.0,7,3604,5,689,540.0,0.0,689.0,703,2007.0,0,102,0.0,5,Reg,0,160,34.0,27.363846269205577,50140.0,5.88,3.1,2008,2,Q1,TwnhsE,0
183859.460411109,1808,3,3.0,1,3.0,1774.0,9,13514,7,0,850.0,1142.0,632.0,1808,2008.0,200,26,285.0,5,IR1,0,20,102.0,26.11993393300743,50720.0,5.005000000000001,5.2,2009,3,Q1,1Fam,0
182285.140233276,988,3,2.0,44,2.0,988.0,5,9100,6,0,624.0,36.0,952.0,988,1977.0,0,0,51.0,4,Reg,0,20,70.0,30.85894600589856,48130.0,6.765000000000001,2.8,2006,7,Q3,1Fam,0
157798.309713876,1342,2,2.0,69,1.0,739.0,6,6000,7,468,240.0,264.0,475.0,874,1939.0,0,0,0.0,5,Reg,0,50,50.0,27.363846269205577,50140.0,5.88,2.7,2008,4,Q2,1Fam,1
193717.15117887,1096,3,2.0,30,2.0,1008.0,6,13014,6,0,484.0,528.0,480.0,1096,1978.0,168,0,39.0,5,Reg,0,80,80.0,27.363846269205577,50140.0,5.19,3.8,2008,12,Q4,1Fam,0
199428.857699441,2790,4,3.5,3,4.0,1620.0,10,12539,10,1158,1150.0,1082.0,538.0,1632,2005.0,30,200,468.0,5,Reg,192,60,96.0,27.363846269205577,50140.0,6.37,3.7,2008,6,Q2,1Fam,1
