FL_Test | INFO flwr 2026-01-03 15:25:43,257 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2026-01-03 15:25:43,282 | app.py:175 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2026-01-03 15:25:43,283 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2026-01-03 15:25:43,283 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2026-01-03 15:31:52,594 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2026-01-03 15:31:52,625 | app.py:175 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2026-01-03 15:31:52,626 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2026-01-03 15:31:52,626 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2026-01-03 15:38:50,176 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2026-01-03 15:38:50,200 | app.py:175 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2026-01-03 15:38:50,201 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2026-01-03 15:38:50,201 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2026-01-03 15:43:32,195 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2026-01-03 15:43:32,217 | app.py:175 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2026-01-03 15:43:32,218 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2026-01-03 15:43:32,218 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2026-01-03 15:43:40,185 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2026-01-03 15:43:40,185 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2026-01-03 15:43:40,186 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2026-01-03 15:44:56,312 | server.py:222 | fit_round 1: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2026-01-03 15:44:56,894 | server.py:236 | fit_round 1 received 3 results and 0 failures
FL_Test | DEBUG flwr 2026-01-03 15:44:56,895 | server.py:173 | evaluate_round 1: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2026-01-03 15:44:56,953 | server.py:187 | evaluate_round 1 received 3 results and 0 failures
FL_Test | DEBUG flwr 2026-01-03 15:44:56,954 | server.py:222 | fit_round 2: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2026-01-03 15:44:57,386 | server.py:236 | fit_round 2 received 3 results and 0 failures
FL_Test | DEBUG flwr 2026-01-03 15:44:57,387 | server.py:173 | evaluate_round 2: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2026-01-03 15:44:57,435 | server.py:187 | evaluate_round 2 received 3 results and 0 failures
FL_Test | INFO flwr 2026-01-03 15:44:57,436 | server.py:153 | FL finished in 77.25008479994722
FL_Test | INFO flwr 2026-01-03 15:44:57,436 | app.py:225 | app_fit: losses_distributed [(1, 10.289384841918945), (2, 9.85809326171875)]
FL_Test | INFO flwr 2026-01-03 15:44:57,437 | app.py:226 | app_fit: metrics_distributed_fit {'Accuracy': [(1, 0.0), (2, 0.0)], 'Precision': [(1, 0.0), (2, 0.0)], 'Recall': [(1, 0.0), (2, 0.0)], 'F1_Score': [(1, 0.0), (2, 0.0)]}
FL_Test | INFO flwr 2026-01-03 15:44:57,437 | app.py:227 | app_fit: metrics_distributed {'Accuracy': [(1, 0.71453), (2, 0.726496)], 'Precision': [(1, 0.740762), (2, 0.757328)], 'Recall': [(1, 0.71453), (2, 0.726496)], 'F1_Score': [(1, 0.703997), (2, 0.715913)]}
