title,propertyType,sizeSqFeetMax,bedrooms,bathrooms,listingUpdateReason,price,Date,listingDescription,luxury_features,transport_mentions,school_mentions,renovation_mentions
"8 bedroom house for sale in Winnington Road, Hampstead, London, N2, United Kingdom, N2",House,16749,8,8,new,24950000,2024,"This magnificent home, set behind security gates in one of the area’s most coveted locations, has direct access to Hampstead Golf Course. Externally, it is exceptionally grand with symmetrical proportions, while internally, the highest standard of interior design has been used. Arranged over four floors, the property spans 16,749 sq. ft (1,559 sq. m.) of meticulously designed living space. The grand entrance atrium is a breathtaking introduction to the home, leading to luxurious and expansive entertaining areas. There are six bedroom suites, including a principal suite with an oversized bathroom and a dressing room. The property also includes a state-of-the-art gym and spa with an indoor swimming pool, sauna, steam room, and pool lounge area. Additional amenities include a games room, media room, and a beautifully landscaped private rear garden. The property enjoys uninterrupted and sweeping views over Hampstead Golf Course, which are exceptionally rare. Outside, a carriage driveway provides ample parking and leads to a secure underground garage with space for up to six cars. Homes of this calibre and quality are rarely available for sale. Situated in one of Hampstead’s most prestigious and peaceful settings, the property lies in one of London’s leafiest and greenest locations, while still within easy reach of Central London. Hampstead Village, with its array of boutique shops, cafes, and restaurants, is just a short distance away, while Hampstead Heath offers expansive green spaces for outdoor activities. The area is also well-served by excellent schools and transport links, providing quick access to the City and the West End.","luxurious and expansive entertaining areas, state-of-the-art gym and spa with an indoor swimming pool, sauna, steam room, and pool lounge area, games room, media room, and a beautifully landscaped private rear garden",quick access to the City and the West End,excellent schools,
"7 bedroom house for sale in Brick Street, Mayfair, London, W1J",House,12960,7,7,price_reduced,29500000,2024,"In the heart of exclusive Mayfair, this majestic and luxurious Grade II listed property provides unique lateral living and entertaining space, arranged over only 3 floors. The property benefits from a private, gated drive-in courtyard, underground parking, a swimming pool, cinema room and separate staff accommodation. Laid out over 3 floors totalling in excess of 12,900 sq ft, this exceptional Mayfair house provides the perfect backdrop for modern entertaining alongside traditional architecture. Amenities: – Wine cellar – Office – Library – Gym/massage room – Games room/bar area – Swimming pool – Sauna and steam room – Underground garage for 3 cars – Garden terrace – Courtyard with parking for 4 additional cars Additional Information Mobile Coverage: Please look at the Ofcom website for more information The property is located in the heart of Mayfair, just off Park Lane and a stone's throw away from Hyde Park and Green Park. Brick Street gives access to all that Mayfair has to offer with its boutique shops, art galleries, designer labels and café culture. Mayfair is the prestigious, sophisticated and luxurious epicentre of cosmopolitan London.","swimming pool, cinema room and separate staff accommodation",just off Park Lane and a stone's throw away from Hyde Park and Green Park,,
"6 bedroom terraced house for sale in Chester Square, SW1W",Terraced,6952,6,6,price_reduced,25000000,2024,"A freehold home that gives you everything you could want from a Belgravia sanctuary. That means a high-specification build and finishes, contemporary spaces with architectural flourishes, family-friendly living, and your own attached mews house. Chester Square represents London at its finest. Enjoy a statement address, handsome architecture, and location where you can nip out and collect a pair of Louboutin heels or a Lalique antique with ease. This landmark residence flows freely across 7,000 square feet to yield comfort, luxury, and liveability. Handpicked craftsmen have respected the dwelling’s period elegance, fusing this with contemporary specification and refined finishes, while secure off-road garaging is a coveted feature.",,,,
"6 bedroom detached house for sale in Winnington Road, N2",Detached,16749,6,6,new,24950000,2024,"A magnificent bespoke residence set behind security gates in the area’s most coveted location, backing directly onto Hampstead Golf Course. This outstanding home features exquisite contemporary interiors throughout. Arranged over four floors, the property has 16,749 sq. ft . (1,559 sq. m.) of interior designed accommodation comprising a breath-taking grand entrance atrium, luxurious and spacious accommodation for entertaining, and 6 bedroom suites including a principal bedroom with an oversized bathroom and dressing room. The home also features a state of the art gym and spa facilities with an incredible indoor swimming pool, sauna, steam and pool lounge area. There is also a games room, media room and a beautiful landscaped private rear garden. The home enjoys uninterrupted and sweeping views over Hampstead golf course. The carriage driveway provides parking for several vehicles and leads to a secure underground garage with space for up to 6 cars. Homes of this calibre and quality are rarely available for sale.","luxurious and spacious accommodation for entertaining, a state of the art gym and spa facilities with an incredible indoor swimming pool, sauna, steam and pool lounge area, a games room, media room and a beautiful landscaped private rear garden",,,
"8 bedroom detached house for sale in St. John's Wood, London, NW8",Detached,10241,8,10,price_reduced,24950000,2024,"With its village like ambiance, elegant regency buildings, world famous cricket ground and established cosmopolitan atmosphere, St John's Wood is one of prime London's most sought after addresses. Just a short distance by road or underground to London's West End and City, yet set apart due to its unique architectural heritage and history as well as the 400 acres of neighbouring Regent's Park and Primrose Hill, St John's Wood has been one of London's most desirable areas to live in over the last 200 years. Please use the reference 199732 when contacting us.",,,,
"6 bedroom house for sale in Chapel Street, Belgravia, London, SW1X, United Kingdom, SW1X",House,6773,6,5,new,25000000,2024,"United Kingdom Sotheby’s International Realty are proud to present this newly renovated six-bedroom freehold townhouse in the heart of Belgravia. The exceptional property seamlessly blends Georgian elegance with modern design, creating a house of unparalleled sophistication. Entry is through the wide front door and to the grand entrance hallway, where high ceilings, ornate marble floors, and bespoke lanterns, set the tone for the rest of the house. The spacious dining room is contemporary in its design, with a large chandelier, and a dark marble fireplace, creating a captivating space. On the first floor, a stunning double reception room is grounded by two ornate marble fireplaces and floor-to-ceiling windows, which lead to balconies at both ends. The second floor hosts a spacious study and the luxurious master bedroom suite, with a dressing room and access to a terrace. On the third floor are additional bedrooms, one with an en-suite, while on the lower ground floor lies a cinema room, two further ensuite bedrooms with en-suite bathrooms, a second kitchen, and access to a garden. The basement level offers a spa with an impressive swimming pool, sauna, steam room, and an expansive gym. This historic property on Chapel Street, once owned by Lord Heseltine, is steeped in political and cultural significance. With quick access to local amenities and proximity to Michelin-starred restaurants and luxury shopping, the house couldn’t be in a better location. Set in the heart of Belgravia, an area known for its grand architecture, lying west of Buckingham Palace, bordering Knightsbridge to the north and Chelsea to the west, it offers a village atmosphere. The house is within easy reach of Victoria Station and the King’s Road.","spa with an impressive swimming pool, sauna, steam room, and an expansive gym",Victoria Station and the King’s Road,,newly renovated
"5 bedroom house for sale in Marlborough Place, St John's Wood, London, NW8, United Kingdom, NW8",House,7631,5,5,new,25000000,2024,"Set on Marlborough Place, a secluded and tree-lined street, this family home offers privacy and tranquillity in one of London's most prestigious residential settings. The space, specification and amenities this home has to offer have to be seen to be believed; this is an incredibly rare opportunity to purchase an outstanding home with ample space in prime central London. The detached property also has private gates and secure off-road parking. The ground floor consists of a grand drawing room with a beautiful stone fireplace that opens onto the large dining room. Here, extensive windows overlook the impressive garden, a large skylight complements high ceilings and a built-in bar is perfect for entertaining. The fully kitted kitchen/breakfast room is expertly designed with rich cabinetry and exposed brick. A sitting room, office, study and boot room are also on the ground floor. At the back of the house, a beautiful paved terrace is covered by a leafy pergola. Stone steps descend onto a magnificent garden, lined with large trees protecting your privacy. The lower ground floor houses a cinema room, an unprecedentedly large indoor swimming pool, a built-in bar, and a grand fireplace. This opens onto a sunroom, making it the ultimate place to unwind. There is also an additional kitchen and utility room. The principal suite has a luxurious marble en-suite, and a generously proportioned walk-in-wardrobe, and leads onto an extra sitting room that could be used as an additional bedroom. Two further en-suite bedrooms are located on the first floor and the final two bedrooms are on the second floor. This home is the best of both worlds with ample space, privacy, and outdoor greenery, whilst simultaneously being located in St John’s Wood, close to wonderful restaurants, boutique shops and schools and a short distance from the heart of London.",a grand drawing room with a beautiful stone fireplace that opens onto the large dining room,,"St John’s Wood, close to wonderful restaurants, boutique shops and schools",
"6 bedroom town house for sale in Chester Square, Belgravia, London, SW1W, United Kingdom, SW1W",Town House,6007,6,7,new,25000000,2024,"This exceptional Grade II-listed townhouse in Belgravia is on the quieter side of Chester Square with six bedrooms, seven bathrooms and three powder rooms. The property unfolds over an impressive 6,007 sq ft. The turnkey property is defined by exceptional attention to detail with an impressive spa in the basement which includes a treatment room, sauna, steam room and spa pool. The basement also includes a large multifunction family room, a wine store and a dedicated cinema. A lift rises from the basement to the master bedroom, there is off-street parking, a gym and staff accommodation on the lower ground floor. On the ground floor, a grand entrance leads to a formal dining room and spacious kitchen/breakfast room. The first-floor drawing room has wonderfully high ceilings and opens to a south-facing roof terrace with an external kitchen perfect for entertaining. The master suite on the second floor includes a dressing room and en suite bathroom, while five additional bedrooms all have en suite bathrooms. The property benefits from air conditioning (heating and cooling) throughout, Lutron smart lighting, and an integrated Crestron system. Chester Square in Belgravia is one of London’s most prestigious squares, built in 1835 by the Grosvenor family. The square has been home to numerous renowned figures over the years, including Margaret Thatcher, Mick Jagger, Marianne Faithful and various European royalty. The house is close to Elizabeth Street, nestled between Sloane Square Underground Station and Victoria Station. The house has easy access to Chelsea and Knightsbridge's world-renowned restaurants and shops.","spa in the basement which includes a treatment room, sauna, steam room and spa pool","Elizabeth Street, nestled between Sloane Square Underground Station and Victoria Station",,
"6 bedroom terraced house for sale in Cornwall Terrace, Regent's Park, NW1",Terraced,9213,6,6,price_reduced,25000000,2024,"An extremely rare opportunity to purchase a magnificent, Grade I listed, Regency styled property in one of London’s most prestigious locations. The property, spread across 9,213 sq ft, is offered in shell condition with the benefit of Planning Permission, Listed Building and Crown Estate consents to create one of the most magnificent houses in London. The planned accommodation comprises an entrance hall, double reception room with original ceilings, a family kitchen with dining area, a dining room, a family morning room, a fully panelled library/cigar room, a club room, mirror whiskey bar and humidor, a multipurpose second club room with media facilities, a fully equipped gym and steam room, master bedroom suite occupying the entire second floor, four further guest suites, marble bathrooms and a self contained staff quarters with a commercial kitchen. The property benefits from a lift to all floors, secure car parking and a 148 year lease. Cornwall Terrace is situated on the south west corner of Regent’s Park overlooking the lake on the Outer Circle approximately half a mile north of The Marylebone Road (A40) with easy access to both The City and the West End. Sweeping views across the sculpted greenery of Regent’s Park provide the property with an unrivalled location.",,easy access to both The City and the West End,,
"6 bedroom terraced house for sale in Chester Square, Belgravia, SW1W",Terraced,6007,6,7,new,25000000,2024,"Grade II listed six bedroom white stucco family home with exceptional modernised interiors located on one of Belgravia’s most sought after garden squares. Stepping into the house on the ground floor, a grand entrance hall paved in marble flows through to an impressive dining room. High ceilings, oak parquet flooring, decorative plaster moulding, and a bespoke Regency fireplace give a sense of elegance to this space, and likewise the adjacent ante-room. Beyond lies a well-proportioned kitchen and breakfast room, with marble worktops and first-class appliances from Wolf and Sub-Zero. The first floor is entirely occupied by a grand reception room. Double French doors lead out onto the south-east facing front balcony, filling the room with light and offering spectacular views over the square. In addition, a rear door opens onto the spacious a spacious outdoor kitchen on the terrace. The second floor contains a generous principal bedroom suite with a walk through wardrobe and an ensuite bathroom. The marble-lined bathroom offers underfloor heating and a free-standing bath. A further four ensuite bedrooms have been carefully arranged over the third and fourth floors. The lower ground floor is made up of a sixth bedroom, a chef’s kitchen, and a gym, as well as access to the garage. Carefully designed glazing brings light down to the basement floor, while connecting the main house to the original mews at its rear. Meanwhile, the basement offers an exceptional range of facilities, including spa, sauna, steam room and treatment room. This floor also features a home cinema, a wine cellar and a family room with bar facilities. Finally, a passenger lift connects from the basement to the second floor, which is occupied by the principal master bedroom. The house has been recently renovated to an exceptional standard. Its historic character has been preserved via plaster panelling and walnut doors with burnished bronze handles, while the original Portland stone staircase has been restored. At the same time, modern conveniences include underfloor heating for the basement and all stone surfaces, an integrated Creston system, Lutron smart lighting and air conditioning throughout the property. The house will be sold to turnkey standard with bespoke furniture throughout. The artwork is also available via separate negotiation. The property includes a tiled rear terrace with Fesfoc outdoor kitchen, Wolf barbecue, external fridge and enough space for al fresco dining. There is also a front balcony with views over the communal garden square, which residents have the right to access. Finally, the garage with off-street parking can be accessed via Eaton Mews South, which includes two electric vehicle chargers. Chester Square is a prestigious garden square in Belgravia, lined with grand white stucco townhouses. It was developed by the Grosvenor family, with building work beginning in 1835. Over the years it has been home to numerous celebrated figures, including the poet Matthew Arnold, the actor Tony Curtis, and the politician Margaret Thatcher, and the singers Marianne Faithfull and Mick Jagger. From here, Sloane Square underground station is close, while Victoria station is also nearby. In addition, the world-renowned restaurants and shops of Elizabeth Street, Chelsea and Knightsbridge are within easy reach.","spa, sauna, steam room and treatment room","Sloane Square underground station, Victoria station",,recently renovated to an exceptional standard
