YearQuarter,HPI,CrimeRate,MortgageRate,Unemployment,MedianIncome
1990Q1,76.43,41.008659,10.1315,3.8,27290.0
1990Q2,76.58,41.008659,10.3238,3.5,27290.0
1990Q3,78.72,41.008659,10.1031,4.0,27290.0
1990Q4,78.86,41.008659,9.9592,4.2,27290.0
1991Q1,81.22,41.34025,9.5008,4.467,28550.0
1991Q2,80.31,41.34025,9.5223,4.2,28550.0
1991Q3,82.2,41.34025,9.2731,4.1,28550.0
1991Q4,84.66,41.34025,8.69,3.933,28550.0
1992Q1,85.06,39.571479,8.6885,4.167,28740.0
1992Q2,85.86,39.571479,8.6777,3.8,28740.0
1992Q3,88.45,39.571479,8.0177,3.7,28740.0
1992Q4,87.74,39.571479,8.1921,3.3,28740.0
1993Q1,90.15,38.464463,7.7233,3.8,28660.0
1993Q2,91.07,38.464463,7.4531,3.3,28660.0
1993Q3,93.28,38.464463,7.0877,3.1,28660.0
1993Q4,94.14,38.464463,7.0464,2.933,28660.0
1994Q1,95.08,36.546129,7.2958,3.5,33080.0
1994Q2,99.24,36.546129,8.4277,2.933,33080.0
1994Q3,98.49,36.546129,8.5943,2.9,33080.0
1994Q4,100.24,36.546129,9.1054,2.8,33080.0
1995Q1,100.0,41.018649,8.7854,3.133,35520.0
1995Q2,101.88,41.018649,7.9177,2.9,35520.0
1995Q3,105.59,41.018649,7.6962,2.867,35520.0
1995Q4,105.88,41.018649,7.3392,2.633,35520.0
1996Q1,106.09,36.48913,7.2723,3.0,33210.0
1996Q2,108.75,36.48913,8.1023,2.667,33210.0
1996Q3,109.03,36.48913,8.1469,2.6,33210.0
1996Q4,108.52,36.48913,7.7031,2.533,33210.0
1997Q1,112.85,38.158135,7.7931,2.767,33780.0
1997Q2,114.8,38.158135,7.9269,2.567,33780.0
1997Q3,114.93,38.158135,7.47,2.667,33780.0
1997Q4,116.54,38.158135,7.2054,2.467,33780.0
1998Q1,116.75,35.006289,7.05,2.633,37020.0
1998Q2,118.37,35.006289,7.0977,2.6,37020.0
1998Q3,121.63,35.006289,6.8723,2.667,37020.0
1998Q4,122.6,35.006289,6.7643,2.3,37020.0
1999Q1,123.22,32.235513,6.8775,2.367,41100.0
1999Q2,125.85,32.235513,7.1815,2.233,41100.0
1999Q3,126.52,32.235513,7.7862,2.233,41100.0
1999Q4,125.74,32.235513,7.8407,1.9,41100.0
2000Q1,126.52,32.337499,8.2569,2.1,40990.0
2000Q2,129.34,32.337499,8.3162,1.767,40990.0
2000Q3,131.19,32.337499,8.02,1.867,40990.0
2000Q4,132.44,32.337499,7.6208,1.767,40990.0
2001Q1,134.27,32.912717,7.0069,2.467,40980.0
2001Q2,136.17,32.912717,7.13,2.167,40980.0
2001Q3,137.44,32.912717,6.9638,2.133,40980.0
2001Q4,138.92,32.912717,6.7708,2.333,40980.0
2002Q1,140.17,34.492684,6.9715,2.9,41050.0
2002Q2,139.79,34.492684,6.8131,2.667,41050.0
2002Q3,142.47,34.492684,6.2892,2.733,41050.0
2002Q4,143.44,34.492684,6.0754,2.567,41050.0
2003Q1,144.02,32.539015,5.8408,3.233,41380.0
2003Q2,144.72,32.539015,5.5069,3.033,41380.0
2003Q3,147.45,32.539015,6.0338,3.033,41380.0
2003Q4,151.2,32.539015,5.9193,2.667,41380.0
2004Q1,151.38,31.92586,5.5975,3.033,43390.0
2004Q2,154.1,31.92586,6.1062,3.0,43390.0
2004Q3,155.11,31.92586,5.8943,3.233,43390.0
2004Q4,155.74,31.92586,5.7362,3.1,43390.0
2005Q1,156.4,31.382987,5.7685,3.533,46500.0
2005Q2,159.27,31.382987,5.7085,3.2,46500.0
2005Q3,162.66,31.382987,5.7638,3.0,46500.0
