SalePrice,GrLivArea,BedroomAbvGr,Bathrooms,PropertyAge,GarageCars,TotalBsmtSF,OverallQual,LotArea,TotRmsAbvGrd,2ndFlrSF,GarageArea,BsmtFinSF1,BsmtUnfSF,1stFlrSF,GarageYrBlt,WoodDeckSF,OpenPorchSF,MasVnrArea,OverallCond,LotShape,ScreenPorch,MSSubClass,LotFrontage,CrimeRate,MedianIncome,InterestRate,UnemploymentRate,YrSold,MoSold,QrtSold,BldgType,RenovationFlag
208500.0,1710,3,3.5,5,2.0,856.0,7,8450,8,854,548.0,706.0,150.0,856,2003.0,0,61,196.0,5,Reg,0,60,65.0,27.363846269205577,50140.0,5.88,3.1,2008,2,Q1,1Fam,0
181500.0,1262,3,2.5,31,2.0,1262.0,6,9600,6,0,460.0,978.0,284.0,1262,1976.0,298,0,0.0,8,Reg,0,20,80.0,29.102296283256685,48910.0,6.21,2.8,2007,5,Q2,1Fam,0
223500.0,1786,3,3.5,7,2.0,920.0,7,11250,6,866,608.0,486.0,434.0,920,2001.0,0,42,162.0,5,IR1,0,60,68.0,27.363846269205577,50140.0,6.01,3.0,2008,9,Q3,1Fam,1
140000.0,1717,3,2.0,91,3.0,756.0,7,9550,7,756,642.0,216.0,540.0,961,1998.0,0,35,0.0,5,IR1,0,70,60.0,30.85894600589856,48130.0,6.25,3.0,2006,2,Q1,1Fam,1
250000.0,2198,4,3.5,8,3.0,1145.0,8,14260,9,1053,836.0,655.0,490.0,1145,2000.0,192,84,350.0,5,IR1,0,60,84.0,27.363846269205577,50140.0,5.19,3.8,2008,12,Q4,1Fam,0
143000.0,1362,1,2.5,16,2.0,796.0,5,14115,5,566,480.0,732.0,64.0,796,1993.0,40,30,0.0,5,IR1,0,50,85.0,26.11993393300743,50720.0,4.94,4.4,2009,10,Q4,1Fam,1
307000.0,1694,3,3.0,3,2.0,1686.0,8,10084,7,0,636.0,1369.0,317.0,1694,2004.0,255,57,186.0,5,Reg,0,20,75.0,29.102296283256685,48910.0,6.59,3.0,2007,8,Q3,1Fam,1
200000.0,2090,3,3.5,36,2.0,1107.0,7,10382,7,983,484.0,859.0,216.0,1107,1973.0,235,204,240.0,6,IR1,0,60,68.0,26.11993393300743,50720.0,4.87,4.6,2009,11,Q4,1Fam,0
129900.0,1774,2,2.0,77,2.0,952.0,7,6120,8,752,468.0,0.0,952.0,1022,1931.0,90,0,0.0,5,Reg,0,50,51.0,27.363846269205577,50140.0,5.88,2.7,2008,4,Q2,1Fam,1
118000.0,1077,2,2.0,69,1.0,991.0,5,7420,5,0,205.0,851.0,140.0,1077,1939.0,0,4,0.0,6,Reg,0,190,50.0,27.363846269205577,50140.0,5.69,3.3,2008,1,Q1,2fmCon,1
129500.0,1040,3,2.0,43,1.0,1040.0,5,11200,5,0,384.0,906.0,134.0,1040,1965.0,0,0,0.0,5,Reg,0,20,70.0,27.363846269205577,50140.0,5.88,3.1,2008,2,Q1,1Fam,0
345000.0,2324,4,4.0,1,3.0,1175.0,9,11924,11,1142,736.0,998.0,177.0,1182,2005.0,147,21,286.0,5,IR1,0,60,85.0,30.85894600589856,48130.0,6.765000000000001,2.8,2006,7,Q3,1Fam,1
144000.0,912,2,2.0,46,1.0,912.0,5,12968,4,0,352.0,737.0,175.0,912,1962.0,140,0,0.0,6,IR2,176,20,68.0,27.363846269205577,50140.0,6.01,3.0,2008,9,Q3,1Fam,0
279500.0,1494,3,2.0,1,3.0,1494.0,7,10652,7,0,840.0,0.0,1494.0,1494,2006.0,160,33,306.0,5,IR1,0,20,91.0,29.102296283256685,48910.0,6.59,3.0,2007,8,Q3,1Fam,1
157000.0,1253,2,2.5,48,1.0,1253.0,6,10920,5,0,352.0,733.0,520.0,1253,1960.0,0,213,212.0,5,IR1,0,20,68.0,27.363846269205577,50140.0,6.05,3.0,2008,5,Q2,1Fam,0
132000.0,854,2,1.0,78,2.0,832.0,7,6120,5,0,576.0,0.0,832.0,854,1991.0,48,112,0.0,8,Reg,0,45,51.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1
149000.0,1004,2,2.0,40,2.0,1004.0,6,11241,5,0,480.0,578.0,426.0,1004,1970.0,0,0,180.0,7,IR1,0,20,68.0,25.221608273812684,49020.0,4.965,5.2,2010,3,Q1,1Fam,0
90000.0,1296,2,2.0,39,2.0,0.0,4,10791,6,0,516.0,0.0,0.0,1296,1967.0,0,0,0.0,5,Reg,0,90,72.0,30.85894600589856,48130.0,6.365,2.4,2006,10,Q4,Duplex,0
159000.0,1114,3,2.5,4,2.0,1114.0,5,13695,6,0,576.0,646.0,468.0,1114,2004.0,0,102,0.0,5,Reg,0,20,66.0,27.363846269205577,50140.0,6.37,3.7,2008,6,Q2,1Fam,0
139000.0,1339,3,1.0,51,1.0,1029.0,5,7560,6,0,294.0,504.0,525.0,1339,1958.0,0,0,0.0,6,Reg,0,20,70.0,26.11993393300743,50720.0,4.85,5.0,2009,5,Q2,1Fam,1
325300.0,2376,4,3.5,1,3.0,1158.0,8,14215,9,1218,853.0,0.0,1158.0,1158,2005.0,240,154,380.0,5,IR1,0,60,101.0,30.85894600589856,48130.0,6.24,2.4,2006,11,Q4,1Fam,1
139400.0,1108,3,1.0,77,1.0,637.0,7,7449,6,0,280.0,0.0,637.0,1108,1930.0,0,0,0.0,7,Reg,0,45,57.0,29.102296283256685,48910.0,6.68,3.4,2007,6,Q2,1Fam,1
230000.0,1795,3,2.0,6,2.0,1777.0,8,9742,7,0,534.0,0.0,1777.0,1795,2002.0,171,159,281.0,5,Reg,0,20,75.0,27.363846269205577,50140.0,6.01,3.0,2008,9,Q3,1Fam,0
129900.0,1060,3,2.0,31,2.0,1040.0,5,4224,6,0,572.0,840.0,200.0,1060,1976.0,100,110,0.0,7,Reg,0,120,44.0,29.102296283256685,48910.0,6.68,3.4,2007,6,Q2,TwnhsE,0
154000.0,1060,3,2.0,42,1.0,1060.0,5,8246,6,0,270.0,188.0,204.0,1060,1968.0,406,90,0.0,8,IR1,0,20,68.0,25.221608273812684,49020.0,4.885,4.3,2010,5,Q2,1Fam,1
256300.0,1600,3,2.0,2,3.0,1566.0,8,14230,7,0,890.0,0.0,1566.0,1600,2007.0,0,56,640.0,5,Reg,0,20,110.0,26.11993393300743,50720.0,5.2,5.6,2009,7,Q3,1Fam,0
134800.0,900,3,1.5,59,2.0,900.0,5,7200,5,0,576.0,234.0,180.0,900,2005.0,222,32,0.0,7,Reg,0,20,60.0,25.221608273812684,49020.0,4.885,4.3,2010,5,Q2,1Fam,1
306000.0,1704,3,3.0,3,3.0,1704.0,8,11478,7,0,772.0,1218.0,486.0,1704,2008.0,0,50,200.0,5,Reg,0,20,98.0,25.221608273812684,49020.0,4.885,4.3,2010,5,Q2,1Fam,1
207500.0,1600,2,2.0,49,1.0,1484.0,5,16321,6,0,319.0,1277.0,207.0,1600,1957.0,288,258,0.0,6,IR1,0,20,47.0,30.85894600589856,48130.0,6.125,2.5,2006,12,Q4,1Fam,1
68500.0,520,1,1.0,81,1.0,520.0,4,6324,4,0,240.0,0.0,520.0,520,1920.0,49,0,0.0,6,IR1,0,30,60.0,27.363846269205577,50140.0,6.05,3.0,2008,5,Q2,1Fam,1
40000.0,1317,3,1.0,88,1.0,649.0,4,8500,6,668,250.0,0.0,649.0,649,1920.0,0,54,0.0,4,Reg,0,70,50.0,27.363846269205577,50140.0,6.37,3.6,2008,7,Q3,1Fam,1
149350.0,1228,3,1.5,42,1.0,1228.0,5,8544,6,0,271.0,0.0,1228.0,1228,1966.0,0,65,0.0,6,IR1,0,20,68.0,27.363846269205577,50140.0,6.37,3.7,2008,6,Q2,1Fam,1
179900.0,1234,3,2.0,1,2.0,1234.0,8,11049,7,0,484.0,0.0,1234.0,1234,2007.0,0,30,0.0,5,Reg,0,20,85.0,27.363846269205577,50140.0,5.69,3.3,2008,1,Q1,1Fam,0
165500.0,1700,4,2.0,51,2.0,1398.0,5,10552,6,0,447.0,1018.0,380.0,1700,1959.0,0,38,0.0,5,IR1,0,20,70.0,25.221608273812684,49020.0,5.07,4.3,2010,4,Q2,1Fam,0
277500.0,1561,2,3.0,2,2.0,1561.0,9,7313,6,0,556.0,1153.0,408.0,1561,2005.0,203,47,246.0,5,Reg,0,120,60.0,29.102296283256685,48910.0,6.59,3.0,2007,8,Q3,TwnhsE,0
309000.0,2452,4,3.5,2,3.0,1117.0,8,13418,9,1320,691.0,0.0,1117.0,1132,2004.0,113,32,132.0,5,Reg,0,60,108.0,30.85894600589856,48130.0,6.415,2.6,2006,9,Q3,1Fam,1
145000.0,1097,3,1.5,15,2.0,1097.0,5,10859,6,0,672.0,0.0,1097.0,1097,1995.0,392,64,0.0,5,Reg,0,20,112.0,26.11993393300743,50720.0,5.4,6.0,2009,6,Q2,1Fam,1
153000.0,1297,3,1.5,55,2.0,1297.0,5,8532,5,0,498.0,1213.0,84.0,1297,1954.0,0,0,650.0,6,Reg,0,20,74.0,26.11993393300743,50720.0,4.94,4.4,2009,10,Q4,1Fam,1
109000.0,1057,3,2.0,57,1.0,1057.0,5,7922,5,0,246.0,731.0,326.0,1057,1953.0,0,52,0.0,7,Reg,0,20,68.0,25.221608273812684,49020.0,5.025,5.5,2010,1,Q1,1Fam,1
82000.0,1152,2,2.0,53,0.0,0.0,4,6040,6,0,0.0,0.0,0.0,1152,1979.0,0,0,0.0,5,Reg,0,90,65.0,27.363846269205577,50140.0,6.37,3.7,2008,6,Q2,Duplex,0
160000.0,1324,3,2.0,41,2.0,1088.0,6,8658,6,0,440.0,643.0,445.0,1324,1965.0,0,138,101.0,5,Reg,0,20,84.0,30.85894600589856,48130.0,6.125,2.5,2006,12,Q4,1Fam,0
170000.0,1328,2,2.0,48,1.0,1350.0,5,16905,5,0,308.0,967.0,383.0,1328,1959.0,0,104,0.0,6,Reg,0,20,115.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0
144000.0,884,2,2.0,24,2.0,840.0,5,9180,5,0,504.0,747.0,0.0,884,1983.0,240,0,0.0,7,IR1,0,85,68.0,29.102296283256685,48910.0,6.125,3.0,2007,12,Q4,1Fam,0
130250.0,938,3,2.0,33,1.0,938.0,5,9200,5,0,308.0,280.0,167.0,938,1977.0,145,0,0.0,6,IR1,0,20,68.0,27.363846269205577,50140.0,6.37,3.6,2008,7,Q3,1Fam,1
141000.0,1150,3,2.0,47,1.0,1150.0,5,7945,6,0,300.0,179.0,465.0,1150,1959.0,0,0,0.0,6,Reg,0,20,70.0,30.85894600589856,48130.0,6.595,2.4,2006,5,Q2,1Fam,0
319900.0,1752,2,3.0,5,2.0,1752.0,9,7658,6,0,576.0,456.0,1296.0,1752,2005.0,196,82,412.0,5,Reg,0,120,61.0,25.221608273812684,49020.0,4.99,5.3,2010,2,Q1,TwnhsE,0
239686.0,2149,1,2.5,6,2.0,1434.0,7,12822,6,631,670.0,1351.0,83.0,1518,2003.0,168,43,0.0,5,IR1,198,50,48.0,26.11993393300743,50720.0,5.18,5.6,2009,8,Q3,1Fam,0
249700.0,1656,3,2.0,1,3.0,1656.0,8,11096,7,0,826.0,24.0,1632.0,1656,2006.0,0,146,0.0,5,Reg,0,20,84.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0
113000.0,1452,2,2.0,89,0.0,736.0,4,4456,8,716,0.0,0.0,736.0,736,1979.0,0,0,0.0,5,Reg,0,190,33.0,26.11993393300743,50720.0,5.4,6.0,2009,6,Q2,2fmCon,1
