SalePrice,BedroomAbvGr,Bathrooms,PropertyAge,OverallQual,LotArea,TotRmsAbvGrd,ScreenPorch,YrSold,MoSold,QrtSold
208500.0,3,3.5,5,7,8450,8,0,2008,2,Q1
181500.0,3,2.5,31,6,9600,6,0,2007,5,Q2
223500.0,3,3.5,7,7,11250,6,0,2008,9,Q3
140000.0,3,2.0,91,7,9550,7,0,2006,2,Q1
250000.0,4,3.5,8,8,14260,9,0,2008,12,Q4
143000.0,1,2.5,16,5,14115,5,0,2009,10,Q4
307000.0,3,3.0,3,8,10084,7,0,2007,8,Q3
200000.0,3,3.5,36,7,10382,7,0,2009,11,Q4
129900.0,2,2.0,77,7,6120,8,0,2008,4,Q2
118000.0,2,2.0,69,5,7420,5,0,2008,1,Q1
129500.0,3,2.0,43,5,11200,5,0,2008,2,Q1
345000.0,4,4.0,1,9,11924,11,0,2006,7,Q3
144000.0,2,2.0,46,5,12968,4,176,2008,9,Q3
279500.0,3,2.0,1,7,10652,7,0,2007,8,Q3
157000.0,2,2.5,48,6,10920,5,0,2008,5,Q2
132000.0,2,1.0,78,7,6120,5,0,2007,7,Q3
149000.0,2,2.0,40,6,11241,5,0,2010,3,Q1
90000.0,2,2.0,39,4,10791,6,0,2006,10,Q4
159000.0,3,2.5,4,5,13695,6,0,2008,6,Q2
139000.0,3,1.0,51,5,7560,6,0,2009,5,Q2
325300.0,4,3.5,1,8,14215,9,0,2006,11,Q4
139400.0,3,1.0,77,7,7449,6,0,2007,6,Q2
230000.0,3,2.0,6,8,9742,7,0,2008,9,Q3
129900.0,3,2.0,31,5,4224,6,0,2007,6,Q2
154000.0,3,2.0,42,5,8246,6,0,2010,5,Q2
256300.0,3,2.0,2,8,14230,7,0,2009,7,Q3
134800.0,3,1.5,59,5,7200,5,0,2010,5,Q2
306000.0,3,3.0,3,8,11478,7,0,2010,5,Q2
207500.0,2,2.0,49,5,16321,6,0,2006,12,Q4
68500.0,1,1.0,81,4,6324,4,0,2008,5,Q2
40000.0,3,1.0,88,4,8500,6,0,2008,7,Q3
149350.0,3,1.5,42,5,8544,6,0,2008,6,Q2
179900.0,3,2.0,1,8,11049,7,0,2008,1,Q1
165500.0,4,2.0,51,5,10552,6,0,2010,4,Q2
277500.0,2,3.0,2,9,7313,6,0,2007,8,Q3
309000.0,4,3.5,2,8,13418,9,0,2006,9,Q3
145000.0,3,1.5,15,5,10859,6,0,2009,6,Q2
153000.0,3,1.5,55,5,8532,5,0,2009,10,Q4
109000.0,3,2.0,57,5,7922,5,0,2010,1,Q1
82000.0,2,2.0,53,4,6040,6,0,2008,6,Q2
160000.0,3,2.0,41,6,8658,6,0,2006,12,Q4
170000.0,2,2.0,48,5,16905,5,0,2007,7,Q3
144000.0,2,2.0,24,5,9180,5,0,2007,12,Q4
130250.0,3,2.0,33,5,9200,5,0,2008,7,Q3
141000.0,3,2.0,47,5,7945,6,0,2006,5,Q2
319900.0,2,3.0,5,9,7658,6,0,2010,2,Q1
239686.0,1,2.5,6,7,12822,6,198,2009,8,Q3
249700.0,3,2.0,1,8,11096,7,0,2007,7,Q3
113000.0,2,2.0,89,4,4456,8,0,2009,6,Q2
127000.0,3,2.0,41,5,7742,6,0,2007,1,Q1
177000.0,3,2.5,10,6,13869,6,0,2007,7,Q3
114500.0,3,1.0,72,6,6240,6,0,2006,9,Q3
110000.0,2,2.0,47,5,8472,5,0,2010,5,Q2
385000.0,0,2.5,25,9,50271,5,0,2006,11,Q4
130000.0,3,1.0,52,5,7134,6,0,2007,2,Q1
180500.0,3,2.0,44,6,10175,7,0,2008,7,Q3
172500.0,3,3.5,10,8,2645,7,0,2009,8,Q3
196500.0,3,2.5,2,7,11645,7,0,2006,8,Q3
438780.0,3,3.5,0,10,13682,10,0,2006,10,Q4
124900.0,2,1.0,36,5,7200,4,0,2008,1,Q1
158000.0,3,2.5,2,6,13072,5,0,2006,5,Q2
101000.0,3,1.0,87,5,7200,6,0,2007,3,Q1
202500.0,2,2.0,1,8,6442,6,0,2007,10,Q4
140000.0,3,2.0,89,7,10300,9,0,2010,4,Q2
219500.0,3,3.5,12,7,9375,8,0,2009,2,Q1
317000.0,4,2.5,3,8,9591,9,0,2007,10,Q4
180000.0,3,3.0,40,7,19900,7,0,2010,7,Q3
226000.0,3,3.0,4,7,10665,7,0,2007,6,Q2
80000.0,2,1.0,65,4,4608,4,0,2010,6,Q2
225000.0,3,2.0,53,7,15593,7,0,2006,7,Q3
244000.0,3,3.0,34,7,13651,8,0,2007,2,Q1
129500.0,2,2.0,25,4,7599,4,0,2007,6,Q2
185000.0,3,2.5,11,7,10141,7,291,2009,12,Q4
144900.0,3,2.0,56,5,10200,6,0,2010,5,Q2
107400.0,3,2.0,95,3,5790,8,0,2010,5,Q2
91000.0,2,2.0,36,4,1596,5,0,2009,11,Q4
135750.0,2,1.0,52,4,8475,4,0,2008,4,Q2
127000.0,2,2.0,60,5,8635,6,0,2008,1,Q1
136500.0,4,2.0,42,4,10778,8,0,2010,4,Q2
110000.0,2,1.5,99,5,10440,5,0,2009,5,Q2
193500.0,4,2.5,41,6,13000,8,252,2009,6,Q2
153500.0,2,3.0,8,6,4500,5,0,2006,3,Q1
245000.0,3,2.0,1,8,10206,6,0,2008,10,Q4
126500.0,3,1.5,47,5,8892,6,0,2007,7,Q3
168500.0,3,2.5,14,7,8530,7,0,2009,5,Q2
260000.0,4,2.5,15,8,16059,9,0,2006,4,Q2
174000.0,3,2.5,4,6,11911,6,0,2009,3,Q1
164500.0,2,2.5,0,6,3951,4,0,2009,6,Q2
85000.0,2,1.0,94,3,8470,6,0,2009,10,Q4
123600.0,3,2.0,13,4,8070,5,0,2007,8,Q3
109900.0,2,1.0,56,4,7200,4,0,2006,7,Q3
98600.0,2,1.0,45,5,8500,6,0,2006,12,Q4
163500.0,2,2.0,88,5,13360,5,0,2009,8,Q3
133900.0,4,2.5,97,6,7200,9,99,2007,11,Q4
204750.0,3,3.5,10,6,9337,7,0,2007,5,Q2
185000.0,3,2.5,16,6,9765,6,0,2009,4,Q2
214000.0,3,2.0,7,7,10264,6,0,2006,8,Q3
94750.0,3,2.0,42,4,10921,6,0,2007,5,Q2
83000.0,2,1.0,90,5,10625,5,0,2010,5,Q2
128950.0,3,2.5,51,4,9320,6,0,2010,1,Q1
205000.0,3,3.0,33,6,10603,6,0,2010,2,Q1
178000.0,3,2.5,25,6,9206,7,0,2010,6,Q2
118964.0,4,2.0,30,5,7018,8,0,2009,6,Q2
198900.0,3,2.0,1,7,10402,6,0,2010,5,Q2
169500.0,4,1.5,76,7,7758,7,184,2007,6,Q2
250000.0,3,2.5,5,8,9375,9,0,2008,8,Q3
100000.0,2,1.0,122,4,10800,6,0,2007,8,Q3
115000.0,2,1.0,60,5,6000,5,0,2008,4,Q2
115000.0,3,2.0,88,5,8500,7,0,2007,8,Q3
190000.0,3,2.0,33,6,11751,7,0,2010,1,Q1
136900.0,4,2.0,52,6,9525,7,0,2006,10,Q4
180000.0,3,2.5,10,7,7750,7,0,2010,4,Q2
383970.0,4,3.5,0,7,9965,10,168,2007,10,Q4
217000.0,3,3.0,54,6,21000,7,0,2007,10,Q4
259500.0,3,3.5,62,6,7259,9,0,2007,7,Q3
176000.0,2,2.5,8,6,3230,5,0,2007,6,Q2
139000.0,3,1.5,47,5,11616,6,0,2009,9,Q3
155000.0,2,1.5,1,5,8536,5,0,2007,4,Q2
320000.0,5,4.0,20,7,12376,11,0,2010,5,Q2
163990.0,3,2.5,1,6,8461,8,0,2006,7,Q3
180000.0,1,2.0,37,6,21453,4,0,2006,10,Q4
100000.0,3,1.0,68,4,6060,4,0,2007,6,Q2
136000.0,3,1.0,50,6,9464,5,130,2008,6,Q2
153900.0,2,2.0,15,6,7892,5,0,2008,3,Q1
181000.0,3,2.0,30,6,17043,7,0,2009,1,Q1
84500.0,2,2.0,71,6,6780,5,0,2006,6,Q2
128000.0,2,2.0,31,6,4928,5,0,2007,2,Q1
87000.0,3,1.0,77,5,4388,5,0,2007,6,Q2
155000.0,3,1.5,40,6,7590,6,0,2006,7,Q3
150000.0,3,2.0,48,5,8973,6,0,2006,7,Q3
226000.0,4,2.5,40,7,14200,8,0,2006,5,Q2
244000.0,3,3.5,9,6,12224,7,0,2009,7,Q3
150750.0,3,2.0,48,5,7388,7,0,2007,7,Q3
220000.0,2,3.0,8,8,6853,6,0,2009,6,Q2
180000.0,3,2.5,38,5,10335,7,0,2006,7,Q3
174000.0,3,2.0,38,7,10400,7,0,2008,5,Q2
143000.0,3,2.0,40,5,10355,5,0,2007,7,Q3
171000.0,5,3.0,18,7,11070,9,0,2006,7,Q3
230000.0,3,2.5,9,8,9066,7,0,2008,12,Q4
231500.0,3,3.5,12,6,15426,7,0,2009,8,Q3
115000.0,3,1.0,39,4,10500,5,0,2010,4,Q2
260000.0,3,3.0,1,7,11645,7,0,2006,1,Q1
166000.0,4,2.0,58,5,8520,6,0,2010,6,Q2
204000.0,3,3.0,10,7,10335,6,0,2009,6,Q2
125000.0,6,3.0,43,5,9100,10,0,2006,11,Q4
130000.0,3,2.0,2,6,2522,7,0,2006,4,Q2
105000.0,2,2.0,78,5,6120,5,0,2009,11,Q4
222500.0,3,2.5,9,7,9505,8,0,2010,5,Q2
141000.0,3,2.0,4,7,7500,6,0,2008,4,Q2
115000.0,3,1.0,70,5,6240,7,0,2006,4,Q2
122000.0,3,1.5,32,5,10356,5,0,2007,1,Q1
372402.0,2,3.0,1,8,13891,6,0,2008,1,Q1
190000.0,4,2.5,35,6,14803,8,0,2006,6,Q2
235000.0,1,2.0,48,6,13500,4,0,2008,3,Q1
125000.0,4,1.0,83,6,11340,7,0,2006,3,Q1
79000.0,2,1.0,84,6,9600,5,0,2008,4,Q2
109500.0,2,1.0,56,5,7200,5,0,2006,6,Q2
269500.0,4,2.5,1,8,12003,8,0,2010,5,Q2
254900.0,3,2.5,6,7,12552,8,0,2010,5,Q2
320000.0,4,3.5,1,7,19378,9,0,2006,3,Q1
162500.0,3,2.0,24,6,11120,6,0,2008,6,Q2
412500.0,3,3.5,5,9,13688,10,0,2008,3,Q1
220000.0,3,2.0,5,7,12182,7,0,2010,5,Q2
103200.0,1,1.0,51,4,5500,4,0,2007,4,Q2
152000.0,3,2.0,81,6,5400,5,0,2007,10,Q4
127500.0,4,3.0,68,5,10106,6,0,2008,9,Q3
